,name,salary,rating,numOfrates
228,babcock international group,66836.0,2.9705882352941178,34.0
229,babylon health,68134.65,3.4285714285714293,21.0
230,badenoch & clark,75279.21052631579,3.5,10.0
231,badoo,63599.0,4.541666666666667,24.0
233,bain & company,75327.82352941176,4.333333333333334,15.0
234,baker hughes,121754.0,4.208333333333333,24.0
235,baker mckenzie,93160.66666666667,4.2727272727272725,11.0
236,balfour beatty,63335.2,3.733333333333333,30.0
237,bank of america,74810.18181818182,3.9253731343283578,67.0
238,bank of east asia,66200.42857142857,2.6666666666666665,3.0
239,bank of ireland,68900.5,3.0909090909090913,11.0
240,barclays,67143.0,3.818181818181816,398.0
241,barhale,36699.0,3.5,4.0
242,barracuda networks,75140.66666666667,4.0,2.0
243,barrhead travel,63136.0,1.5,6.0
244,barrington james,28116.5,3.333333333333333,6.0
245,basingstoke college of technology,22803.0,4.5,2.0
246,bauer media,85194.75,2.4,15.0
247,baxter,77050.09302325582,3.8000000000000007,5.0
248,bayer,74438.8762886598,3.8571428571428514,7.0
249,bazaarvoice,70600.45454545454,4.3076923076923075,13.0
250,beam suntory,73319.0,4.333333333333333,3.0
251,beamery,80423.0,4.333333333333333,3.0
252,beamly,102726.0,4.666666666666667,3.0
253,bearingpoint,73743.57777777778,3.5,4.0
254,bechtel,70321.16049382716,3.0,8.0
255,bede gaming,104282.5,4.2,5.0
256,benevolentai,68219.13333333333,4.42857142857143,7.0
257,berkeley square it,110979.0,4.5,2.0
258,berry recruitment,105666.0,5.0,2.0
259,bershka,73214.77777777778,2.0,2.0
260,best buy,55669.71428571428,3.3333333333333326,3.0
261,bestseller,84939.0,2.3333333333333326,6.0
262,betclic everest group,64534.57142857143,2.75,4.0
263,betway group,83298.5,3.1499999999999995,20.0
264,bip solutions,57467.0,2.0,5.0
265,bioclinica,68143.5,3.3333333333333326,3.0
266,biogen,58175.380952380954,4.5,4.0
267,bizagi,94438.2,3.333333333333333,3.0
268,black & veatch,117692.0,4.0,2.0
269,black swan data,78932.0,3.75,4.0
270,blackberry,74364.85714285714,4.3157894736842115,19.0
271,blackline,81683.0,4.0,2.0
272,blackrock,77391.30303030302,3.8225806451612923,64.0
273,blackbaud,71496.5,3.5,2.0
274,blackhawk network,75241.0,1.5,2.0
275,blatchford,72444.5,2.0,2.0
276,blenheim chalcot,95176.0,4.0,2.0
277,blockchain,88173.0,3.0,2.0
278,bloomreach,102300.5,4.5,2.0
279,bloomberg l.p.,80190.17647058824,4.094674556213019,172.0
280,bluejeans network,84987.0,2.0,3.0
281,boconcept,33390.0,2.6666666666666665,3.0
282,boehringer ingelheim,66858.34848484848,4.0,3.0
283,boeing,74325.75384615385,4.0,9.0
284,bombardier,75338.91666666667,3.4117647058823533,19.0
285,booking.com,77673.75555555556,3.6491228070175383,58.0
286,boots,76471.4,3.2122448979591836,248.0
287,booz allen hamilton,76933.18181818182,3.25,4.0
288,bosch rexroth,49962.0,4.0,2.0
289,boston consulting group,78180.37438423645,4.54545454545453,11.0
290,boston hale,116828.33333333333,4.5,2.0
291,bottega veneta,49019.666666666664,2.5,2.0
292,bottomline technologies,84104.33333333333,3.6,10.0
293,box,111704.0,4.4444444444444455,9.0
294,brady plc,22195.0,2.8,5.0
295,brakes group,49826.333333333336,2.6,10.0
296,brand recruitment,80465.14285714286,5.0,2.0
298,bravura solutions,70890.2,3.2857142857142856,7.0
300,brenntag,62976.333333333336,3.0,2.0
301,brewin dolphin,86938.5,3.5,8.0
303,bright horizons family solutions,37082.0,3.25,4.0
304,brighthouse,101436.0,3.555555555555556,9.0
